,Company,Cities,Year of Starting,Founders,Industries,Funding Amount,Funding Rounds,Number of Employees,Number of Investors
30,31) Skillmatics,Mumbai,2016,"Aravind Sanka, Pavan Guntupalli, Rishikesh SR","Children, Education","7,419,353",2,1001-5000,2
31,32) Rapido,Bengaluru,2015,Mukesh Ambani,"Information Services, Mobile Apps, Public Transportation, Taxi Service, Transportation","121,996,807",9,101-250,32
32,33) Reliance Jio,Mumbai,2010,Shradha Sharma,"Apps, Information Services, Internet, Telecommunications","24,767,620,475",16,11-50,35
33,34) YourStory,Bengaluru,2008,"Deepti Sanghi, Gaurav Thapa","Information Technology, Internet, News, Public Relations, Publishing","8,469,522",3,5001-10000,6
34,35) Kodo,Mumbai,2019,"Abhinav Lal, Shashank ND","B2B, Financial Services, FinTech, Small and Medium Businesses","8,736,466",2,11-50,5
35,36) Practo,Bengaluru,2008,Virender Bisht,"Health Care, Health Diagnostics, Medical, mHealth, Mobile Apps, Pharmaceutical, Wellness","228,246,376",7,251-500,14
36,37) NiYO Solutions,Bengaluru,2015,Mukesh Ambani,"Finance, Financial Services, FinTech","49,200,000",3,1001-5000,5
37,38) Reliance Retail,Mumbai,2006,"Geet Garg, Nishith Rastogi","Consumer Goods, Grocery, Retail","6,419,310,306",6,101-250,8
38,39) Locus.sh,Bengaluru,2015,"Karthikeyan Krishnaswamy, Madhusudan Ekambaram, Wan Hong","Big Data, Data Visualization, Logistics, Software","78,750,000",6,251-500,25
39,40) KreditBee,Bengaluru,2018,"Aman Gupta, Sameer Mehta","Financial Services, FinTech, Internet, Lending","116,258,656",3,1001-5000,7
40,41) boAt,Delhi,2016,"Binny Bansal, Sachin Bansal","Consumer Electronics, Fashion, Lifestyle, Wearables","9,009,184,737",6,11-50,5
41,42) Flipkart,Bengaluru,2007,"Bipin Singh, Chandan Joshi, Upasana Taku","E-Commerce, Internet, Retail, Shopping","165,518,505",24,51-100,24
42,43) MobiKwik,Gurgaon,2009,Manan Khurma,"Consumer Lending, Financial Services, FinTech, Lending, Mobile Payments, Payments, Wealth Management","64,495,265",15,51-100,26
43,44) Cuemath,Bengaluru,2013,"Adriel Maniego, Arjun Ahluwalia","E-Learning, EdTech, Education, STEM Education","35,400,000",5,1001-5000,8
44,45) Jai Kisan,Mumbai,2017,"Aaditya Sharda, Souvik Sengupta","Agriculture, AgTech, Financial Services, FinTech","161,545,747",5,101-250,18
45,46) Infra.Market,Thane,2016,"Amitava Saha, Supam Maheshwari","Construction, E-Commerce, Marketplace, Procurement","277,583,000",7,501-1000,8
46,47) Xpressbees,Pune,2015,Kshama Fernandes,"Delivery Service, E-Commerce, Internet, Logistics, Supply Chain Management","383,626,249",8,1001-5000,11
47,48) Northern Arc,Chennai,2008,"Hemanth Goteti, Zishaan Hayath","Enterprise, Finance, Financial Services","112,087,670",11,101-250,12
48,49) Toppr,Mumbai,2013,"Darpan Sanghvi, Priyanka Gill","E-Learning, EdTech, Education","56,035,717",11,501-1000,14
49,50) MyGlamm,Mumbai,2015,"David Back, Greg Moran","Beauty, Marketplace, Mobile Apps","274,145,634",8,11-50,14
50,51) ZoomCar,Bengaluru,2012,"Kunal Bahl, Rohit Bansal","Automotive, E-Commerce, Rental, Reservations, Transportation","1,776,260,825",20,1001-5000,36
51,52) Snapdeal,Gurgaon,2010,Karan Bajaj,"Consumer Electronics, E-Commerce, Internet, Marketplace, Retail, Shopping","11,294,388",13,11-50,26
52,53) WhiteHat Education Technology,Andheri,2018,"Amit Jain, Anurag Jain",Education,"247,500,000",2,51-100,3
53,54) CarDekho,Gurgaon,2007,"Aprameya Radhakrishna, Mayank Bidawatka","Automotive, E-Commerce, Information Services, Information Technology, Software","33,997,488",7,101-250,14
54,55) Koo App,Bengaluru,2020,"Pranav Goel, Uttam Digga, Vikas Choudhary","Apps, Internet, Social Media, Software","32,070,087",3,1001-5000,10
55,56) Porter,Bengaluru,2014,"Naga Bharath Daka, Pawan Kumar Chandana","E-Commerce, Internet, Logistics, Supply Chain Management","14,938,971",6,251-500,6
56,57) Skyroot Aerospace,Hyderabad,2018,"Manish Ahuja, Naveen Rawat, Rahul Dogar","Aerospace, Transportation","27,307,486",3,1001-5000,9
57,58) Holisol logistics,Delhi,2009,Shivakumar Ganesan,"Business Development, Logistics, Supply Chain Management","12,294,124",5,501-1000,4
58,59) Exotel,Bengaluru,2011,Vinay Sanghi,"Cloud Data Services, Messaging, Mobile Apps","307,351,129",4,501-1000,8
59,60) CarTrade,Mumbai,2009,"Ajeesh Achuthan, Anish Achuthan, Deena Jacon, Mabel Chacko","Auctions, Automotive, E-Commerce, Marketplace","37,400,000",8,101-250,9
60,61) OPEN,Bengaluru,2017,Bhupinder Singh,"Banking, Billing, Finance, Financial Services, FinTech, Payments","254,425,980",5,51-100,13
61,62) InCred,Mumbai,2016,"Ambareesh Murty, Ashish Shah","Banking, Consumer Lending, Finance, Financial Services, FinTech, Lending","245,341,627",8,101-250,17
62,63) Pepperfry,Mumbai,2011,"Abhishek Bansal, Vaibhav Khandelwal","E-Commerce, Furniture, Marketplace, Retail","119,680,000",9,11-50,8
63,64) Shadowfax,Bengaluru,2015,"Bhisham Bhateja, Hitesh Dhingra, Parvesh Kumar","Delivery Service, E-Commerce, Internet, Logistics, Supply Chain Management","14,128,602",6,101-250,13
64,65) The Man Company,Gurgaon,2015,"Moin SPM, Satyanarayanan Chakravarthy, Srinath Ravichandran","Beauty, Consumer Goods","14,543,144",6,101-250,5
65,66) Agnikul,Chennai,2017,"Abhinav Jain, Aditya Gupta, Kalpak Chhajed","Aerospace, Manufacturing, Nanotechnology","19,879,176",4,1001-5000,17
66,67) Shop101,Mumbai,2015,"Abhishek Poddar, Saurabh Arora","Apps, Consumer Goods, E-Commerce, Internet, Online Portals","20,645,163",3,51-100,6
67,68) Plum,Bengaluru,2019,"Dheeraj Jain, Srijana Bagaria, Vikas Bagaria","Employee Benefits, Health Care, Health Insurance, Human Resources, Insurance","9,653,620",5,501-1000,23
68,69) Pee Safe,Gurgaon,2013,"Ankit Nagori, Mukesh Bansal","Consumer Goods, Fast-Moving Consumer Goods, Fitness, Health Care, Wellness","479,575,960",6,501-1000,16
69,70) cure.fit,Bengaluru,2016,Falguni Nayar,"Apps, Fitness, Health Care, Wellness","341,858,615",10,501-1000,33
70,71) Nykaa,Mumbai,2012,"Akhil Gupta, Amit Agarwal","Beauty, E-Commerce, Fashion, Lifestyle, Online Portals, Wellness","214,452,563",13,101-250,15
71,72) NoBroker,Bengaluru,2014,"Dharmil Sheth, Dhaval Shah, Mikhil Innani","Commercial Real Estate, Mobile Apps, Property Management, Real Estate, Software","671,538,857",10,51-100,13
72,73) PharmEasy,Mumbai,2015,"Asish Mohapatra, Bhuvan Gupta, Chandranshu Sinha, Nitin Jain, Ruchi Kalra, Srinath Ramakkrushnan, Vasant Sridhar","Health Care, Health Diagnostics, Pharmaceutical, Wellness","193,125,171",9,101-250,26
73,74) OfBusiness,Gurgaon,2015,"Smita Deorah, Sumeet Mehta","Financial Services, FinTech, Lending","65,966,878",7,51-100,13
74,75) LEAD School,Mumbai,2012,"Raghu Kumar, Shrinivas Viswanath","E-Learning, EdTech, Education, Secondary Education","29,000,000",4,1001-5000,3
75,76) Upstox,Mumbai,2010,"Anshuman Kumar, Divyansh Bordia, Mihir Gupta, Payoj Jain","Financial Services, FinTech, Trading Platform","20,000,000",2,5001-10000,3
76,77) Teachmint,Bengaluru,2020,"Ashish Anantharaman, Lizzie Chapman, Priya Sharma","E-Learning, EdTech, Education","68,373,925",3,251-500,5
77,78) ZestMoney,Bengaluru,2015,"Kartik Bansal, Tamanna Dhamija, Tarun Dhamija","Big Data, Consumer Lending, Financial Services, FinTech","13,000,000",9,11-50,15
78,79) Convosight,Delhi,2019,"Anuj Srivastava, Ramakant Sharma, Shagufta Anurag","SaaS, Social Media, Social Media Management","101,691,508",2,251-500,5
79,80) Livspace,Bengaluru,2014,"Jaydeep Barman, Kallol Banerjee","E-Commerce, Furniture, Interior Design","342,349,901",8,1-10,17
80,81) Rebel Foods,Pune,2011,"Mohit Gupta, Niraj Singh, Ramanshu Mahaur","E-Commerce, Food Delivery, Food Processing","126,900,000",20,11-50,19
81,82) Spinny,Gurgaon,2015,"Cherian Dr, Gandharv Goyal, Kuldeep Singh Chauhan, Meenakshi Singh","E-Commerce, E-Commerce Platforms, Internet, Retail","4,200,835",5,501-1000,13
82,83) Synapsica,Delhi,2018,"Amrendra Singh, Shashank Kumar","Artificial Intelligence, Health Care, Health Diagnostics, Information Technology, Machine Learning, Medical, Natural Language Processing, Predictive Analytics, Software","49,286,284",4,501-1000,5
83,84) DeHaat,City,2012,Prateek Shukla,"Agriculture, AgTech, E-Commerce, Farming, Internet, Marketplace","7,483,079",5,101-250,8
84,85) Masai School,Bengaluru,2019,"Jo Aggarwal, Ramakant Vempati","E-Learning, Education, Training","9,357,626",3,11-50,4
85,86) Wysa,Bengaluru,2015,"Anshoo Sharma, Brij Bhushan","Artificial Intelligence, Fitness, Health Care, Medical Device, mHealth","41,884,162",4,251-500,9
86,87) Magicpin,Gurgaon,2015,"Arun Vinayak, Swapnil Jain, Tarun Mehta","E-Commerce, E-Commerce Platforms, Internet, Retail","102,210,000",7,11-50,12
87,88) Ather Energy,Bengaluru,2013,"Arun Lodhi, Bimal Kartheek Rebba, Prashant Sachan, Pulkit Agrawal","Automotive, Electric Vehicle, Manufacturing","16,950,000",5,11-50,5
88,89) Trell,Bengaluru,2016,"Ashish Santhalia, Atul Shree, Bharat Patidar, Durgesh Choudhary","Lifestyle, Social Network, Social Shopping, Video","24,000,000",7,1-10,31
89,90) Convin,Bengaluru,2019,"Anik Das, Jaya Kishore Reddy Gollareddy, Raghu Kumar, Rashid Khan","Analytics, Artificial Intelligence, Sales, Software","23,313,960",1,501-1000,7
90,91) Yellow Messenger,Bengaluru,2016,Varun Alagh,"Artificial Intelligence, Customer Service, Enterprise Software, Messaging, Software","38,519,469",3,101-250,3
91,92) Mamaearth,Gurgaon,2016,"Anant Goel, Anurag Jain, Ashish Goel, Yatish Talavdia","E-Commerce, Health Care, Retail, Wellness","3,000,000",5,1001-5000,8
92,93) Milkbasket,Haryana,2014,"Ashish Goel, Rajiv Srivatsa","Delivery Service, E-Commerce, Food and Beverage, Internet","114,896,667",11,101-250,18
93,94) Bimaplan,Bengaluru,2020,"Adarsh Kumar, Arya Gautam, Rupesh Mishra","Financial Services, Insurance","17,000,000",2,101-250,27
94,95) Urban Ladder,Bengaluru,2012,Vijay Shekhar Sharma,"E-Commerce, E-Commerce Platforms, Furniture, Home Decor, Internet","28,188,461",9,1001-5000,10
95,96) PagarBook,Bengaluru,2019,"Aditya Prasad, Gaurav Kumar, Harsh Pokharna","Apps, Enterprise Software, Human Resources, Mobile Apps, SaaS, Software","84,200,000",2,1001-5000,4
96,97) Paytm Payments Bank,Delhi,2017,"Manish Taneja, Rahul Dash","Banking, FinTech, Mobile Payments","93,649,358",2,251-500,2
97,98) OkCredit,Faridabad,2017,Raj Khosla,"Finance, Financial Exchanges, Financial Services, FinTech, Personal Finance","15,000,000",3,51-100,6
98,99) Purplle,Mumbai,2011,"Chanakya Hridaya, Rajesh Yabaji, Ramasubramaniam B","Beauty, Cosmetics, E-Commerce, Mobile Apps, Retail, Shopping","296,995,198",10,1001-5000,15
99,100) MyMoneyMantra,Delhi,1989,"Ankit Garg, Chaitanya Ramalingegowda","Consumer Lending, Finance, Financial Services, FinTech, Insurance, Lending, Marketplace, Personal Finance","152,000,000",1,11-50,2
100,101) Blackbuck,Bengaluru,2015,Shan Kadavil,"Information Services, Internet, Logistics, Supply Chain Management, Transportation","147,830,000",8,101-250,13
101,102) Wakefit,Bengaluru,2016,"Abhimanyu Dhamija, Abhishek Anand, Advitiya Sharma, Amrit Raj, Neeraj Bhunwal, Rahul Yadav, Ravish Naresh, Rishabh Agrawal, Sanat Ghosh, Saurabh Goyal, Snehil Buxy, Vaibhav Tolia","E-Commerce, Furniture, Manufacturing, Retail","49,939,813",2,101-250,3
102,103) Freshtohome,Bengaluru,2015,"Aditya Shankar, Tanushree Nagori","E-Commerce, E-Commerce Platforms, Food and Beverage, Food Delivery, Online Portals","22,000,000",9,1001-5000,23
103,104) Housing.com,Gurgaon,2012,"Anugrah Shrivastava, Rohan Gupta, Vasanth Kamath","Internet, Online Portals, Real Estate","8,444,527",8,51-100,16
104,105) Doubtnut,Gurgaon,2016,"Aditya Sengupta, Akash Gehani, Harshad Sharma, Sampad Swain","E-Learning, EdTech, Education, Image Recognition, STEM Education","2,100,568,357",5,1-10,10
105,106) smallcase,Bengaluru,2015,"Deepinder Goyal, Gaurav Gupta, Pankaj Chaddah",Financial Services,"35,500,000",3,101-250,11
106,107) Instamojo,Bengaluru,2012,"Kaushik Mukherjee, Vineeta Singh","Business Development, E-Commerce, Financial Services, Payments","45,500,000",7,1001-5000,14
107,108) Zomato,Gurgaon,2008,"Chanchal Kurele, Paavan Nanda, Saumya Singh Rathore","Food Delivery, Mobile Apps, Reservations, Restaurants","14,340,302",21,501-1000,25
108,109) SUGAR Cosmetics,Mumbai,2012,"Kamesh Goyal, Philip Varghese, Sriram Shankar, Vijay Kumar","Beauty, Brand Marketing, Cosmetics, Internet, Online Portals, Retail","23,450,864",3,1001-5000,6
109,110) WinZO,Delhi,2018,"Sanjay Sharma, Vikram Jetley","Digital Entertainment, eSports, Gaming, Media and Entertainment, Online Games","244,460,150",5,11-50,12
110,111) Chingari,Bengaluru,2018,"Deepak Garg, Gazal Kalra","Social, Video","261,193,454",5,51-100,18
111,112) Fisdom,Bengaluru,2015,"Anirudh Singla, Rishabh Shekhar","Advice, Apps, Finance, Financial Services, FinTech","268,701,257",6,101-250,7
112,113) Digit Insurance,Bengaluru,2016,"Chirag Jain, Rasik Pansare","Finance, Financial Services, Insurance, InsurTech","4,506,066",5,11-50,4
113,114) Aye Finance,Gurgaon,2014,"Shivani Poddar, Tanvi Malik","Finance, Financial Services, FinTech, Small and Medium Businesses","10,392,793",23,251-500,23
114,115) Rivigo,Gurgaon,2014,"Alekh Sanghera, Lokesh Singh, Mehtab Singh Hans","Automotive, Freight Service, Logistics, Shipping, Software, Transportation","18,658,274",11,1001-5000,6
115,116) Pepper Content,Mumbai,2017,"Ajit Narayanan, Arjun Choudhary, Ashutosh Lawania, Prasad Kompalli","Content, Content Marketing, Media and Entertainment","3,280,204",2,501-1000,19
116,117) Get My Parking,Delhi,2015,"Ananth Narayanan, Prashanth Singh, Tushar Kumar","Automotive, Internet, Parking, Software","48,785,217",5,101-250,8
117,118) FabAlley,Noida,2012,"Harshvardhan Lunia, Mukul Sachan","E-Commerce, Fashion, Lifestyle, Women's","56,506,662",8,251-500,18
118,119) FarMart,Gurgaon,2015,"Mohit Goel, Rajat Kumar, Sachin Arora, Vipul Sharma","Agriculture, Apps, Farming, Mobile, SaaS","257,504,119",4,251-500,6
119,120) mfine,Bengaluru,2017,"Anand Prabhudesai, Dhirendra Mahyavanshi, Kunal Shah","Apps, Artificial Intelligence, Health Care, Hospital, Medical","6,000,000",6,51-100,11
120,121) Medlife,Bengaluru,2014,"Ashneer Grover, Bhavik Koladiya, Shashvat Nakrani","Information Technology, Retail","77,000,000",4,251-500,3
121,122) Lendingkart,Ahmedabad,2014,"Venkat Malladi, Yamini Bhat","Finance, Financial Services, FinTech, Lending, Micro Lending","485,392,829",12,101-250,15
122,123) Chqbook,Delhi,2017,"Gautam Kapoor, Saahil Goel, Vishesh Khurana","Finance, Financial Services, FinTech","290,345,855",3,51-100,8
123,124) Turtlemint,Mumbai,2015,Nilesh Patel,"Financial Services, Health Insurance, Insurance, InsurTech","23,000,000",5,1001-5000,10
124,125) Ecom Express,Delhi,2012,"Kush Taneja, Sambhav Jain","Delivery, E-Commerce, Logistics","53,350,000",6,11-50,4
125,126) BharatPe,Delhi,2018,"Jiby Thomas, Pranay Chulet","Apps, Financial Services, FinTech, Payments, QR Codes","35,000,000",7,251-500,17
126,127) Vymo,Bengaluru,2013,"Ankit Gupta, Deepak Joy Cheenath","Analytics, Apps, CRM, Mobile, Productivity Tools, SaaS, Sales Automation","42,850,000",5,501-1000,5
127,128) Shiprocket,Delhi,2017,"Anindya Dutta, Sandeep Dalmia","E-Commerce, Logistics, Shipping, Supply Chain Management","424,214,622",6,11-50,12
128,129) LeadSquared,Bengaluru,2011,"Ankit Prasad, Mohd Wassem, Rahul Prasad","CRM, SaaS, Software","15,504,114",2,51-100,3
129,130) FamPay,Bengaluru,2019,"Nakul Kukar, Paras Kaushal","Financial Services, Lifestyle, Payments","172,175,325",3,11-50,17
130,131) Quikr,Bengaluru,2008,"Kaustub Pandey, Subhash Choudhary, Suumit Shah","Classifieds, E-Commerce, Internet, Marketplace, Rental Property","81,000,000",12,11-50,15
131,132) Quizizz,Bengaluru,2015,"Dinesh Advani, Vivek Goyal","E-Learning, Education, Gamification, Skill Assessment, Software, Training","450,000",3,51-100,6
132,133) Stanza Living,Delhi,2017,"Shailendra Nath Rai, Sunil Bhalla, Vishal Sehgal","Home Services, Hospitality, Information Technology, Real Estate, Rental Property","13,275,213",6,501-1000,12
133,134) Pristyn Care,Gurgaon,2018,"Aniket Deshpande, Gaurav Kumar, Irfan Mohammed, Soumendra Ghosh, Vineet Sukumar","Health Care, Hospital, Internet","4,074,000",4,101-250,5
134,135) Polygon (Previously Matic Network),Mumbai,2017,"Enbasekar Dinadayalane, Satish Kannan",Blockchain,"6,000,000",3,1001-5000,4
135,136) Bobble AI,Haryana,2015,Ajith Karimpana,"Artificial Intelligence, Machine Learning, Messaging, Natural Language Processing, Text Analytics","28,438,340",5,251-500,3
136,137) Cell Propulsion,Bengaluru,2016,"Nandan Reddy, Rahul Jaimini, Sriharsha Majety","Automotive, Electric Vehicle","90,000,000",6,1-10,6
137,138) DukaanÂ®,Bengaluru,2019,"Deepu Panicker, Raunak Munot, Rohit Jaiswal, Shantanu Deshpande",DIY,"107,701,572",1,501-1000,9
138,139) Play Shifu,Bengaluru,2016,"Kadam Jeet Jain, Rahul Chaudhary, Sidharth Gupta","Augmented Reality, Education, Media and Entertainment, STEM Education, Toys","27,575,748",5,11-50,10
139,140) Lava International Limited,Noida,2009,"Pawan Gupta, Rahul Namdev","Consumer Electronics, Mobile, Telecommunications","68,955,715",1,101-250,1
140,141) Vivriti Capital,Chennai,2017,"Anjali Naik, Anurag Gupta, Paramdeep Singh, Rishi Malhotra, Vinodh Bhat","Analytics, Banking, Crowdfunding, Financial Services, FinTech, Insurance, Marketplace","2,428,380,000",4,501-1000,2
141,142) DocsApp,Bengaluru,2015,Ankur Warikoo,"Health Care, Medical, Mobile Apps, Wellness","17,696,569",5,101-250,11
142,143) Furlenco,Bengaluru,2012,"Alok Mittal, Siddharth Mahanot, Sundeep Sahi","Consumer, Furniture, Home Decor, Home Improvement, Rental, Subscription Service","69,174,397",16,1001-5000,21
143,144) Swiggy,Bengaluru,2014,"Ganesh Krishnan, Karan Aneja, Manjusha Anumolu, Meena Ganesh, Zachary Jones","Delivery Service, E-Commerce Platforms, Restaurants","4,600,000",14,51-100,23
144,145) Bombay Shaving Company,Delhi,2015,Tushar Aggarwal,"Consumer Goods, E-Commerce, Lifestyle, Men's","131,591,747",6,5001-10000,16
145,146) Treebo Hotels,Bengaluru,2015,"Kanika Gupta, Tanuj Shori","Hospitality, Hotel, Internet","37,237,275",9,101-250,16
146,147) Betterhalf,Bengaluru,2016,"Mathew Cherian, Sachin Shenoy, Tushar Vashisht","Artificial Intelligence, Consumer Applications, Dating","35,826,551",3,11-50,10
147,148) JioSaavn,Mumbai,2007,Deepak Bhagchandani,"Internet, Mobile, Music, Music Streaming, Video Streaming","76,066,894",7,101-250,13
148,149) nearbuy,Delhi,2011,"Abhinav Pathak, Saketh BSV, Yogesh Ghaturle","Apps, E-Commerce, Internet, Restaurants, Travel","75,000,000",3,51-100,2
149,150) Indifi Technologies,Gurgaon,2015,"Rajeev Gaba, Tarun Bhalla","Credit, Financial Services, FinTech, Lending","73,000,000",5,101-250,15
150,151) Portea Medical,Bengaluru,2013,Sumant Sinha,"Health Care, Home Health Care, Hospital, Medical","25,000,000",6,251-500,10
151,152) Stashfin,Delhi,2016,Kavin Bharti Mittal,"Apps, Banking, Finance, Financial Services, FinTech","2,225,000",3,101-250,14
152,153) Square Yards,Gurgaon,2014,"Raghuraj Sunder Raju, Sandeep Gudibanda","Market Research, Real Estate","6,361,203",6,5001-10000,11
153,154) HealthifyMe,Bengaluru,2012,Manish Patel,"Apps, Fitness, Health Care, mHealth","2,776,179,257",7,101-250,17
154,155) QuickSell,Mumbai,2017,"Archit Jayasal, Kunaal Dudeja, Nalin Saluja, Paarul Dudeja",Software,"261,000,000",2,1-10,6
155,156) Perpule,Bengaluru,2016,Rahul Mathur,"Apps, Billing, Enterprise Software, Mobile Payments, Point of Sale, Retail Technology, SaaS, Shopping, Software","22,523,899",3,501-1000,5
156,157) Avishkaar,Delhi,2014,Pradeep Dadha,"EdTech, Education","97,467,607",2,51-100,4
157,158) ReNew Power,Gurgaon,2011,Yogesh Kabra,"Clean Energy, Energy, Renewable Energy, Solar, Wind Energy","3,450,000",12,1001-5000,9
158,159) Hike,Delhi,2012,Vijay Shekhar Sharma,"Apps, Messaging, Mobile, Online Portals, Social Network","545,000",5,501-1000,10
159,160) HealthPlix,Bengaluru,2014,"Ashish Hemrajani, Parikshit Dar, Rajesh Balpande","Artificial Intelligence, Health Care, Wellness","99,000,000",3,101-250,4
160,161) Mswipe Technologies,Mumbai,2011,Aditi Avasthi,"Financial Services, Payments","4,923,799",9,251-500,14
161,162) Virohan,Gurgaon,2018,"Annanya Sarthak, Gurpreet Singh, Praveen Sah","Continuing Education, Corporate Training, EdTech, Health Care, Higher Education, Vocational Education","4,432,652,051",6,101-250,9
162,163) BimaPe,Mumbai,2020,"Aloke Bajpai, Dharmendra Yashovardhan, Rajnish Kumar","Consumer Applications, FinTech, InsurTech","224,500,000",2,251-500,5
163,164) Netmeds,Chennai,2010,"Amit Singh, Deepanshu Malviya","E-Commerce, Health Care, Pharmaceutical","196,656,376",3,1001-5000,4
164,165) XYXX Apparels,,2017,"Amuleek Singh Bijral, Gaganjot Kaur","Gaming, Sports","5,463,025",3,51-100,3
